review_text,rating,date,verified_purchase,product_variant,sentiment,intent
Battery alone is worth the price. Lasts me through the whole day easily.,5,2025-12-27,No,8GB-256GB,Positive,Buy Intent
It's alright for the price. Nothing too impressive but does the job.,3,2026-01-23,Yes,8GB-256GB,Neutral,Inquiry
"Clean software, fast updates. Love how snappy everything feels.",4,2024-09-27,Yes,8GB-128GB,Positive,Buy Intent
Battery drains faster than expected during heavy use.,3,2024-06-08,Yes,8GB-256GB,Neutral,Buy Intent
Disappointed. Everything about this phone screams cheap.,2,2024-11-02,Yes,12GB-256GB,Negative,Buy Intent
Camera has good megapixels but software processing needs work.,3,2024-08-16,Yes,8GB-128GB,Neutral,Not Interested
Performance is fine for everyday tasks. Gaming is average.,3,2024-10-19,Yes,12GB-512GB,Neutral,Inquiry
Build feels decent but nothing feels premium.,3,2025-12-16,Yes,12GB-256GB,Neutral,Not Interested
Heating while charging is extreme. Had to stop using it.,1,2026-02-23,Yes,8GB-128GB,Negative,Not Interested
Lag is unbearable. Games are practically unplayable.,1,2025-06-03,Yes,8GB-128GB,Negative,Not Interested
Battery life is okay — lasts a day with regular use.,3,2025-10-25,Yes,12GB-256GB,Neutral,Inquiry
Screen to body ratio is excellent. Looks stunning.,4,2024-11-20,Yes,12GB-256GB,Positive,Buy Intent
"Really happy with the call quality. Clear voice, no drops.",5,2025-12-23,Yes,12GB-256GB,Positive,Inquiry
Very happy with this purchase. Camera rivals phones twice the price.,5,2024-07-26,Yes,8GB-128GB,Positive,Buy Intent
Great value for money. Feels premium but doesn't cost a fortune.,4,2025-01-09,Yes,12GB-256GB,Positive,Inquiry
"Excellent phone for the price. Camera, battery and performance are all top notch.",5,2026-02-21,Yes,12GB-256GB,Positive,Buy Intent
Random app crashes every single day. Can't rely on this at all.,1,2025-05-17,Yes,8GB-256GB,Negative,Not Interested
Battery life is a lie. Nothing like what's advertised.,2,2024-06-23,Yes,8GB-128GB,Negative,Complaint
Photo processing is excellent. Pics look natural and sharp.,5,2024-08-01,Yes,8GB-256GB,Positive,Buy Intent
Worst purchase I've made in years. Returning immediately.,2,2025-08-18,Yes,8GB-256GB,Negative,Inquiry
Worst buying decision. Regret it every day.,1,2024-07-20,Yes,8GB-256GB,Negative,Complaint
Display calibration is spot on. Colours look natural and vivid.,5,2026-01-06,No,12GB-256GB,Positive,Buy Intent
Gets the job done. Just not wowing me like I hoped it would.,3,2024-08-21,No,8GB-128GB,Neutral,Complaint
This has been my daily driver for 6 months. Still runs like new.,4,2024-05-07,Yes,8GB-128GB,Positive,Not Interested
Software is clean but a few bugs here and there.,3,2024-12-03,Yes,8GB-256GB,Neutral,Buy Intent
I was skeptical at first but this phone blew my expectations away.,5,2024-11-08,Yes,12GB-256GB,Positive,Buy Intent
Been using this for 3 months now — zero issues. Would definitely recommend.,5,2026-01-20,No,12GB-256GB,Positive,Buy Intent
Software updates are a bit slow but the phone functions well overall.,3,2024-08-03,Yes,12GB-256GB,Neutral,Complaint
Fingerprint sensor works sometimes. Not the most reliable.,3,2024-11-16,Yes,8GB-256GB,Neutral,Inquiry
Amazing night mode. Photos come out so detailed in low light.,5,2024-07-17,Yes,8GB-128GB,Positive,Buy Intent
Camera has good megapixels but software processing needs work.,3,2025-03-13,Yes,8GB-128GB,Neutral,Inquiry
"Camera is amazing, especially in low light. Very happy with my purchase!",5,2025-07-10,Yes,12GB-256GB,Positive,Buy Intent
Honestly expected better performance based on the specs.,3,2024-07-28,Yes,8GB-128GB,Neutral,Not Interested
Highly recommend for anyone looking for a reliable daily driver.,4,2025-09-23,No,8GB-256GB,Positive,Buy Intent
Performance is a joke. My 5 year old phone was faster.,2,2025-08-20,Yes,8GB-256GB,Negative,Inquiry
Good enough for the price range I suppose.,3,2025-09-19,Yes,12GB-256GB,Neutral,Inquiry
Performance is a joke. My 5 year old phone was faster.,1,2024-11-25,Yes,8GB-128GB,Negative,Not Interested
Disappointed with every aspect of this phone. Avoid at all costs.,2,2025-05-15,No,8GB-128GB,Negative,Complaint
Phone gets so hot it shut itself off. Fire hazard maybe?,1,2026-01-22,Yes,8GB-128GB,Negative,Complaint
Going to buy the 12GB variant next. This 8GB one has me sold.,4,2025-08-05,Yes,8GB-256GB,Positive,Buy Intent
